date,price
2017-06-02,100.0
2017-06-05,100.48
2017-06-06,99.92
2017-06-07,100.0
2017-06-08,99.39
2017-06-09,99.13
2017-06-12,98.79
2017-06-13,97.29
2017-06-14,97.53
2017-06-15,96.57
2017-06-16,96.42
2017-06-19,96.76
2017-06-20,95.98
2017-06-21,97.18
2017-06-22,96.5
2017-06-23,95.95
2017-06-26,97.26
2017-06-27,96.74
2017-06-28,96.78
2017-06-29,96.79
2017-06-30,98.41
2017-07-03,98.87
2017-07-04,98.61
2017-07-05,99.74
2017-07-06,98.55
2017-07-07,99.17
2017-07-10,100.79
2017-07-11,101.23
2017-07-12,99.46
2017-07-13,98.71
2017-07-14,100.24
2017-07-17,100.79
2017-07-18,101.21
2017-07-19,101.82
2017-07-20,101.81
2017-07-21,103.71
2017-07-24,105.76
2017-07-25,106.3
2017-07-26,106.0
2017-07-27,104.69
2017-07-28,106.53
2017-07-31,105.82
2017-08-01,105.9
2017-08-02,106.86
2017-08-03,107.11
2017-08-04,107.34
2017-08-07,107.78
2017-08-08,106.41
2017-08-09,106.28
2017-08-10,108.46
2017-08-11,108.27
2017-08-14,110.3
2017-08-15,111.43
2017-08-16,111.76
2017-08-17,111.79
2017-08-18,112.16
2017-08-21,112.0
2017-08-22,112.04
2017-08-23,111.39
2017-08-24,111.89
2017-08-25,111.89
2017-08-28,112.26
2017-08-29,112.23
2017-08-30,111.91
2017-08-31,111.69
2017-09-01,110.8
2017-09-04,110.0
2017-09-05,109.68
2017-09-06,109.63
2017-09-07,109.75
2017-09-08,108.9
2017-09-11,110.12
2017-09-12,110.29
2017-09-13,110.17
2017-09-14,109.81
2017-09-15,109.61
2017-09-18,110.46
2017-09-19,110.09
2017-09-20,110.42
2017-09-21,110.55
2017-09-22,110.07
2017-09-25,110.56
2017-09-26,110.54
2017-09-27,109.19
2017-09-28,108.62
2017-09-29,108.67
2017-10-02,107.2
2017-10-03,108.73
2017-10-04,108.68
2017-10-05,108.66
2017-10-06,109.24
2017-10-09,108.94
2017-10-10,110.1
2017-10-11,110.42
2017-10-12,112.49
2017-10-13,114.13
2017-10-16,114.48
2017-10-17,115.48
2017-10-18,114.88
2017-10-19,117.35
2017-10-20,121.77
2017-10-23,119.83
2017-10-24,121.71
2017-10-25,113.55
2017-10-26,112.45
2017-10-27,110.69
2017-10-30,110.9
2017-10-31,111.15
2017-11-01,110.62
2017-11-03,111.99
2017-11-06,113.37
2017-11-07,113.57
2017-11-08,112.65
2017-11-09,111.76
2017-11-10,110.81
2017-11-13,110.53
2017-11-14,109.3
2017-11-15,109.12
2017-11-16,110.09
2017-11-17,109.93
2017-11-21,110.27
2017-11-22,110.72
2017-11-23,111.26
2017-11-24,110.65
2017-11-27,109.59
