date,price
2017-06-02,100.0
2017-06-05,100.32
2017-06-06,99.29
2017-06-07,99.75
2017-06-08,99.76
2017-06-09,99.37
2017-06-12,99.65
2017-06-13,100.24
2017-06-14,101.32
2017-06-15,101.67
2017-06-16,101.24
2017-06-19,101.83
2017-06-20,100.82
2017-06-21,100.45
2017-06-22,101.84
2017-06-23,102.11
2017-06-26,102.24
2017-06-27,102.01
2017-06-28,103.07
2017-06-29,103.11
2017-06-30,103.92
2017-07-03,103.65
2017-07-04,103.91
2017-07-05,103.33
2017-07-06,102.93
2017-07-07,103.01
2017-07-10,103.02
2017-07-11,102.71
2017-07-12,105.2
2017-07-13,105.52
2017-07-14,105.34
2017-07-17,106.25
2017-07-18,105.89
2017-07-19,105.51
2017-07-20,105.54
2017-07-21,105.66
2017-07-24,105.72
2017-07-25,105.09
2017-07-26,104.49
2017-07-27,102.91
2017-07-28,101.76
2017-07-31,100.71
2017-08-01,100.42
2017-08-02,100.24
2017-08-03,101.03
2017-08-04,101.45
2017-08-07,101.63
2017-08-08,101.01
2017-08-09,99.38
2017-08-10,98.39
2017-08-11,97.61
2017-08-14,98.79
2017-08-15,98.76
2017-08-16,99.07
2017-08-17,98.84
2017-08-18,98.99
2017-08-21,98.71
2017-08-22,99.27
2017-08-23,98.7
2017-08-24,98.85
2017-08-25,99.25
2017-08-28,98.79
2017-08-29,98.97
2017-08-30,98.15
2017-08-31,99.11
2017-09-01,98.61
2017-09-04,98.03
2017-09-05,97.32
2017-09-06,96.74
2017-09-07,96.95
2017-09-08,96.29
2017-09-11,96.34
2017-09-12,97.14
2017-09-13,96.2
2017-09-14,96.37
2017-09-15,97.2
2017-09-18,97.15
2017-09-19,96.78
2017-09-20,96.35
2017-09-21,96.21
2017-09-22,96.02
2017-09-25,95.64
2017-09-26,95.35
2017-09-27,94.59
2017-09-28,93.83
2017-09-29,93.95
2017-10-02,94.37
2017-10-03,94.25
2017-10-04,93.86
2017-10-05,92.62
2017-10-06,91.99
