date,price
2017-06-02,100.0
2017-06-05,100.21
2017-06-06,100.49
2017-06-07,100.24
2017-06-08,100.87
2017-06-09,102.32
2017-06-12,101.79
2017-06-13,101.65
2017-06-14,101.82
2017-06-15,100.25
2017-06-16,101.4
2017-06-19,100.66
2017-06-20,99.89
2017-06-21,100.13
2017-06-22,99.83
2017-06-23,99.76
2017-06-26,99.56
2017-06-27,100.04
2017-06-28,101.5
2017-06-29,100.96
2017-06-30,102.89
2017-07-03,105.0
2017-07-04,105.32
2017-07-05,106.53
2017-07-06,105.91
2017-07-07,106.42
2017-07-10,107.42
2017-07-11,107.48
2017-07-12,108.53
2017-07-13,108.36
2017-07-14,109.1
2017-07-17,108.34
2017-07-18,107.17
2017-07-19,106.97
2017-07-20,107.43
2017-07-21,108.58
2017-07-24,108.59
2017-07-25,109.8
2017-07-26,109.1
2017-07-27,108.17
2017-07-28,108.65
2017-07-31,108.51
2017-08-01,109.78
2017-08-02,109.75
2017-08-03,109.3
2017-08-04,109.9
2017-08-07,109.19
2017-08-08,108.68
2017-08-09,108.42
2017-08-10,106.03
2017-08-11,104.71
2017-08-14,105.92
2017-08-15,105.36
2017-08-16,105.98
2017-08-17,105.26
2017-08-18,105.8
2017-08-21,105.75
2017-08-22,106.27
2017-08-23,106.0
2017-08-24,106.5
2017-08-25,106.91
2017-08-28,107.49
2017-08-29,107.31
2017-08-30,108.55
2017-08-31,107.65
2017-09-01,108.56
2017-09-04,108.07
2017-09-05,107.29
2017-09-06,106.87
2017-09-07,106.62
2017-09-08,105.77
2017-09-11,105.69
2017-09-12,105.94
2017-09-13,103.92
2017-09-14,104.03
2017-09-15,102.91
2017-09-18,103.04
2017-09-19,103.54
2017-09-20,104.67
2017-09-21,104.21
2017-09-22,103.65
2017-09-25,103.31
2017-09-26,103.53
2017-09-27,103.93
2017-09-28,104.2
2017-09-29,104.66
2017-10-02,104.54
2017-10-03,104.93
2017-10-04,105.12
2017-10-05,105.97
2017-10-06,106.5
2017-10-09,105.42
2017-10-10,105.12
2017-10-11,104.09
2017-10-12,102.83
2017-10-13,103.86
2017-10-16,104.07
2017-10-17,106.13
2017-10-18,105.47
2017-10-19,105.4
2017-10-20,104.09
2017-10-23,104.71
2017-10-24,107.24
2017-10-25,106.46
2017-10-26,107.53
2017-10-27,107.56
2017-10-30,105.89
2017-10-31,106.38
2017-11-01,105.5
2017-11-03,105.18
2017-11-06,105.98
2017-11-07,106.63
2017-11-08,107.29
2017-11-09,106.43
2017-11-10,104.72
2017-11-13,103.33
2017-11-14,102.28
2017-11-15,100.9
2017-11-16,101.55
2017-11-17,101.85
2017-11-21,102.43
2017-11-22,103.17
2017-11-23,102.88
2017-11-24,102.42
2017-11-27,101.16
2017-11-28,102.01
2017-11-29,101.91
2017-11-30,99.5
2017-12-01,98.8
2017-12-04,97.9
2017-12-05,97.93
2017-12-06,96.53
2017-12-07,98.27
2017-12-08,99.38
2017-12-11,99.56
2017-12-13,101.91
2017-12-14,100.81
2017-12-15,100.33
2017-12-18,101.58
2017-12-19,101.06
2017-12-20,101.26
2017-12-21,102.51
2017-12-22,102.97
2017-12-26,102.99
2017-12-27,103.53
2017-12-28,103.8
2017-12-29,105.19
2018-01-02,107.4
2018-01-03,107.88
2018-01-04,107.67
2018-01-05,107.61
2018-01-08,107.15
2018-01-09,106.89
2018-01-10,106.62
2018-01-11,108.42
2018-01-12,108.65
2018-01-15,109.04
2018-01-16,108.79
2018-01-17,109.16
2018-01-18,108.42
2018-01-19,108.17
2018-01-22,108.1
2018-01-23,108.72
2018-01-24,110.05
2018-01-25,110.39
2018-01-26,112.41
2018-01-29,111.01
2018-01-30,110.03
2018-01-31,109.67
